x@CMN_123.fofxy_3;x@CMN_456.fofxy_3;x@CMN_789.fofxy_3;x@M1_CC.fofxy_3;x@M2_CC.fofxy_3;x@M3_CC.fofxy_3;x@M4_CC.fofxy_3;x@M5_CC.fofxy_3;x@M6_CC.fofxy_3;x@M7_CC.fofxy_3;x@M8_CC.fofxy_3;x@M9_CC.fofxy_3;temp@M1_TOP.dynamic_pn_chamber_th_2;temp@M1_P2.dynamic_pn_chamber_th_2;temp@M1_P3.dynamic_pn_chamber_th_2;temp@M1_P4.dynamic_pn_chamber_th_2;temp@M1_P5.dynamic_pn_chamber_th_2;temp@M1_P6.dynamic_pn_chamber_th_2;temp@M1_P7.dynamic_pn_chamber_th_2;temp@M1_BOTTOM.dynamic_pn_chamber_th_1;temp@M2_TOP.dynamic_pn_chamber_th_2;temp@M2_P2.dynamic_pn_chamber_th_2;temp@M2_P3.dynamic_pn_chamber_th_2;temp@M2_P4.dynamic_pn_chamber_th_2;temp@M2_P5.dynamic_pn_chamber_th_2;temp@M2_P6.dynamic_pn_chamber_th_2;temp@M2_P7.dynamic_pn_chamber_th_2;temp@M2_BOTTOM.dynamic_pn_chamber_th_5;temp@M3_TOP.dynamic_pn_chamber_th_2;temp@M3_P2.dynamic_pn_chamber_th_2;temp@M3_P3.dynamic_pn_chamber_th_2;temp@M3_P4.dynamic_pn_chamber_th_2;temp@M3_P5.dynamic_pn_chamber_th_2;temp@M3_P6.dynamic_pn_chamber_th_2;temp@M3_P7.dynamic_pn_chamber_th_2;temp@M3_BOTTOM.dynamic_pn_chamber_th_1;temp@M4_TOP.dynamic_pn_chamber_th_2;temp@M4_P2.dynamic_pn_chamber_th_2;temp@M4_P3.dynamic_pn_chamber_th_2;temp@M4_P4.dynamic_pn_chamber_th_2;temp@M4_P5.dynamic_pn_chamber_th_2;temp@M4_P6.dynamic_pn_chamber_th_2;temp@M4_P7.dynamic_pn_chamber_th_2;temp@M4_BOTTOM.dynamic_pn_chamber_th_5;temp@M5_TOP.dynamic_pn_chamber_th_2;temp@M5_P2.dynamic_pn_chamber_th_2;temp@M5_P3.dynamic_pn_chamber_th_2;temp@M5_P4.dynamic_pn_chamber_th_2;temp@M5_P5.dynamic_pn_chamber_th_2;temp@M5_P6.dynamic_pn_chamber_th_2;temp@M5_P7.dynamic_pn_chamber_th_2;temp@M5_BOTTOM.dynamic_pn_chamber_th_1;temp@M6_TOP.dynamic_pn_chamber_th_2;temp@M6_P2.dynamic_pn_chamber_th_2;temp@M6_P3.dynamic_pn_chamber_th_2;temp@M6_P4.dynamic_pn_chamber_th_2;temp@M6_P5.dynamic_pn_chamber_th_2;temp@M6_P6.dynamic_pn_chamber_th_2;temp@M6_P7.dynamic_pn_chamber_th_2;temp@M6_BOTTOM.dynamic_pn_chamber_th_5;temp@M7_TOP.dynamic_pn_chamber_th_2;temp@M7_P2.dynamic_pn_chamber_th_2;temp@M7_P3.dynamic_pn_chamber_th_2;temp@M7_P4.dynamic_pn_chamber_th_2;temp@M7_P5.dynamic_pn_chamber_th_2;temp@M7_P6.dynamic_pn_chamber_th_2;temp@M7_P7.dynamic_pn_chamber_th_2;temp@M7_BOTTOM.dynamic_pn_chamber_th_1;temp@M8_TOP.dynamic_pn_chamber_th_2;temp@M8_P2.dynamic_pn_chamber_th_2;temp@M8_P3.dynamic_pn_chamber_th_2;temp@M8_P4.dynamic_pn_chamber_th_2;temp@M8_P5.dynamic_pn_chamber_th_2;temp@M8_P6.dynamic_pn_chamber_th_2;temp@M8_P7.dynamic_pn_chamber_th_2;temp@M8_BOTTOM.dynamic_pn_chamber_th_1;temp@M0_TOP.dynamic_pn_chamber_th;temp@M0_P2.dynamic_pn_chamber_th;temp@M0_P3.dynamic_pn_chamber_th;temp@M0_P4.dynamic_pn_chamber_th;temp@M0_P5.dynamic_pn_chamber_th;temp@M0_P6.dynamic_pn_chamber_th;temp@M0_P7.dynamic_pn_chamber_th;temp@M0_BOTTOM.dynamic_pn_chamber_th;temp@M9_TOP.dynamic_pn_chamber_th_2;temp@M9_P2.dynamic_pn_chamber_th_2;temp@M9_P3.dynamic_pn_chamber_th_2;temp@M9_P4.dynamic_pn_chamber_th_2;temp@M9_P5.dynamic_pn_chamber_th_2;temp@M9_P6.dynamic_pn_chamber_th_2;temp@M9_P7.dynamic_pn_chamber_th_2;temp@M9_BOTTOM.dynamic_pn_chamber_th_1
FXY0_37 input x;FXY0_38 input x;FXY0_39 input x;FXY0_36 input x;FXY0_32 input x;FXY0_28 input x;FXY0_24 input x;FXY0_20 input x;FXY0_16 input x;FXY0_12 input x;FXY0_8 input x;FXY0_4 input x;TPCH014_252 temperature [K];TPCH014_257 temperature [K];TPCH014_267 temperature [K];TPCH014_272 temperature [K];TPCH014_277 temperature [K];TPCH014_282 temperature [K];TPCH014_287 temperature [K];TPCH014_261 temperature [K];TPCH014_213 temperature [K];TPCH014_218 temperature [K];TPCH014_227 temperature [K];TPCH014_232 temperature [K];TPCH014_237 temperature [K];TPCH014_242 temperature [K];TPCH014_247 temperature [K];TPCH014_223 temperature [K];TPCH014_174 temperature [K];TPCH014_179 temperature [K];TPCH014_188 temperature [K];TPCH014_193 temperature [K];TPCH014_198 temperature [K];TPCH014_203 temperature [K];TPCH014_208 temperature [K];TPCH014_183 temperature [K];TPCH014_135 temperature [K];TPCH014_140 temperature [K];TPCH014_149 temperature [K];TPCH014_154 temperature [K];TPCH014_159 temperature [K];TPCH014_164 temperature [K];TPCH014_169 temperature [K];TPCH014_145 temperature [K];TPCH014_96 temperature [K];TPCH014_101 temperature [K];TPCH014_110 temperature [K];TPCH014_115 temperature [K];TPCH014_120 temperature [K];TPCH014_125 temperature [K];TPCH014_130 temperature [K];TPCH014_105 temperature [K];TPCH014_57 temperature [K];TPCH014_62 temperature [K];TPCH014_71 temperature [K];TPCH014_76 temperature [K];TPCH014_81 temperature [K];TPCH014_86 temperature [K];TPCH014_91 temperature [K];TPCH014_67 temperature [K];TPCH014_18 temperature [K];TPCH014_23 temperature [K];TPCH014_32 temperature [K];TPCH014_37 temperature [K];TPCH014_42 temperature [K];TPCH014_47 temperature [K];TPCH014_52 temperature [K];TPCH014_27 temperature [K];TPCH014_4 temperature [K];TPCH014_9 temperature [K];TPCH014_303 temperature [K];TPCH014_308 temperature [K];TPCH014_313 temperature [K];TPCH014_318 temperature [K];TPCH014_323 temperature [K];TPCH014_13 temperature [K];TPCH014_338 temperature [K];TPCH014_337 temperature [K];TPCH014_339 temperature [K];TPCH014_340 temperature [K];TPCH014_341 temperature [K];TPCH014_342 temperature [K];TPCH014_343 temperature [K];TPCH014_344 temperature [K];TPCH014_333 temperature [K];TPCH014_328 temperature [K];TPCH014_346 temperature [K];TPCH014_351 temperature [K];TPCH014_356 temperature [K];TPCH014_361 temperature [K];TPCH014_366 temperature [K];TPCH014_370 temperature [K]
0,996;0,085;0,314;0,43;0,479;0,638;0,378;0,289;0,457;0,652;0,518;0,713;326,7078862;326,2678375;326,8919501;327,0025673;326,6303152;325,5424145;322,7020323;315,0862881;352,7415203;351,5888711;352,0617905;352,1351408;351,7976787;350,8957054;349,0897279;349,4584727;446,7915434;441,6836317;442,5520175;442,5847953;441,7182305;439,8563499;437,843405;417,3518804;391,5515582;391,4215785;391,4942297;391,7594592;391,7676778;391,892405;390,8221074;376,9894379;383,9638094;384,0683513;383,8684849;383,6860632;383,6037795;383,6731138;383,2300311;377,0624119;552,4961396;550,1654007;549,9338434;549,8444733;550,1823092;550,9266261;548,3244323;521,9639841;675,8132271;669,571781;669,8547622;669,9844993;669,7207019;668,6994029;661,7936985;612,6538075;509,1230297;508,0832238;509,2762079;509,4579323;509,1449185;507,6536857;500,3859601;479,780682;444,399093;458,0959173;461,6859599;460,54577;457,6227121;451,7857998;442,5641397;381,9355907;462,3321317;463,8254042;464,6942837;464,1203088;462,1850102;458,2646476;448,0538563;416,2119323
0,884;0,206;0,523;0,653;0,493;0,623;0,461;0,707;0,587;0,397;0,555;0,485;340,8817668;339,9198745;340,836036;341,0056937;340,455524;338,8510349;334,80738;323,7056693;359,4312723;358,2949022;358,7497312;358,8188803;358,5238097;357,7014033;355,9358355;355,2248153;442,7542702;437,6547005;438,5491946;438,6316587;437,9092374;436,2863924;434,4601905;414,7178555;431,0355206;429,2026576;428,7549037;428,1344462;427,0076002;426,0818221;424,3709016;404,380783;482,9534206;481,7805068;481,5395559;481,3878296;481,3351401;481,4692652;479,8134931;462,2703396;595,1544684;591,5137224;591,5775924;591,6657097;591,8825168;592,2386851;588,1771966;557,1971673;599,6980461;595,5239925;595,8276433;595,9561139;595,6580746;594,687313;589,0041067;550,9399836;497,9297804;495,9332811;497,8758689;498,0835764;497,4793747;495,2339792;486,3520136;466,4815797;422,6365787;426,4608467;431,8122826;429,7517826;425,3990936;418,9251366;411,9619645;370,9247973;415,7849394;416,8115373;417,6973792;417,0965464;415,5498954;412,5880362;405,0778315;381,970624
0,948;0,974;0,056;0,789;0,82;0,835;0,81;0,736;0,539;0,768;0,697;0,469;352,9958295;351,6791299;352,7455141;352,9254544;352,2284425;350,2501107;345,3116383;331,6140582;392,3482753;389,9239908;390,6911863;390,8059708;390,2497149;388,7714186;385,8413176;386,1709175;498,1135378;490,4353428;491,6615546;491,7911411;490,8509933;488,6251459;486,0214314;457,7416566;477,265882;475,0873088;475,161064;475,0511214;474,3858454;473,7473147;471,3897133;447,1939405;504,8535079;503,9250492;503,5337419;503,3762162;503,3204964;503,5053805;501,3274823;480,9827439;631,6637283;628,8971641;628,6132638;628,3111603;628,4768582;628,9121383;623,5782932;582,5638844;702,5088281;694,2141188;695,4276124;695,9396603;695,6219879;694,1372148;685,2696526;628,7556075;553,3729703;551,0188678;552,3917222;552,6967538;552,0376077;549,3896137;538,6438224;511,4065145;450,2890675;461,5929687;464,0504547;461,5515831;456,4987871;449,0669226;442,0080105;388,4878875;437,6580322;439,4343528;439,9173561;439,3882284;437,84479;434,6558663;425,7957172;399,0925268
0,581;0,842;0,451;0,489;0,379;0,371;0,668;0,637;0,837;0,861;0,736;0,961;325,7972897;325,0050883;325,6889818;325,8416223;325,4837455;324,3797013;321,5861512;313,8583609;339,5279945;338,6518337;339,0433901;339,1239293;338,9156183;338,3007121;336,9847264;337,0240662;381,3693235;378,7668346;379,3738386;379,4915267;379,1450625;378,2844375;377,2409201;366,3069845;414,2089026;411,0593393;411,0527052;410,7059749;409,8020164;409,0851655;408,9136428;399,1161767;476,6773959;475,9935859;475,2585183;474,9699267;474,9811418;475,514064;474,3670255;459,5309057;669,0827406;663,4079585;663,708927;663,7710247;664,1467126;664,8380288;659,9510727;621,8545839;696,1337201;685,2039369;686,5697496;687,2215424;686,8406948;685,2660806;678,1891827;624,1779423;527,4722643;523,7434441;526,1379067;526,4034299;525,816948;523,5386267;514,6148084;492,9946974;452,7196155;458,3350853;466,8726156;465,0942309;461,2410825;454,179984;443,8915225;387,7695428;473,3895411;472,5855452;474,3348298;473,4477424;470,765155;465,9153754;455,2669082;420,4356095
0,155;0,139;0,12;0,925;0,871;0,741;0,563;0,475;0,698;0,449;0,461;0,65;429,5785086;428,1896091;428,2450989;428,2879307;428,0803499;425,5193674;415,9123141;389,8283199;452,5221815;450,4654572;450,632103;450,6743741;450,608717;449,998163;447,1852248;437,3637461;530,2589563;525,1207822;525,6670421;525,9019759;525,8394248;525,2152989;522,4867589;493,6430405;453,1759871;452,4369343;452,3732089;452,2408082;452,0250848;452,1166488;449,6692207;423,519141;433,4778239;432,767453;432,759811;432,7745541;432,7925938;432,7970283;431,641093;419,5703644;620,6944511;617,3519364;617,4878663;617,3945127;617,4883201;617,9594094;613,7331519;580,8655884;619,2866882;615,585279;615,7300352;615,8853421;616,0708138;616,003642;611,1515973;572,1061562;513,7377046;513,3367478;513,9162023;514,1039445;514,0925033;513,4349732;507,9608254;485,3995836;448,9928626;472,9792803;473,5393814;474,0676899;473,8220989;470,9627302;462,96407;387,5310299;483,7437438;485,6298537;485,6607393;485,6267363;484,9237192;481,9171426;470,965056;437,0983434
0,536;0,648;0,849;0,65;0,7;0,657;0,827;0,561;0,477;0,565;0,314;0,057;339,7832203;338,6711618;339,5461356;339,7155463;339,1784584;337,6283184;333,7601104;323,0061302;372,406206;370,3661823;371,0562507;371,183955;370,7349465;369,4989799;367,0856956;368,1039175;448,8557275;443,2627457;444,3188767;444,496533;443,8373223;442,162504;440,2274911;419,2512253;448,1415276;445,6023075;446,152152;446,3880086;446,2801367;445,9911407;444,871329;428,7679724;448,3757772;447,1735144;447,1586943;447,1605866;447,1949737;447,259147;446,1153469;432,1571844;556,2438597;553,4741832;553,6438164;553,6439862;553,7417403;553,9088133;550,9556581;524,2217206;581,2448721;573,38091;574,8125539;575,4572894;574,6931197;572,496912;566,9730844;528,5546211;402,6202383;400,218251;402,2279089;402,4034183;401,741335;399,7431133;393,5810351;385,8020132;349,0789015;344,7250745;349,82765;348,2279058;344,7518368;340,5827649;338,2962517;329,1721423;329,3404693;329,7694717;330,2129749;329,9219243;329,3731211;328,4365407;326,146928;319,0671741
0,296;0,815;0,348;0,792;0,624;0,703;0,624;0,698;0,654;0,504;0,55;0,377;358,3452535;356,9698152;357,9626934;358,0167628;357,2214745;355,0520252;349,7605407;335,151645;380,2028657;378,6025101;379,051861;379,0908375;378,7134544;377,7056432;375,5292968;373,9476402;463,5121866;457,3835944;458,3603193;458,4935911;457,8640599;456,2887742;454,2207771;431,4700312;443,4973253;441,6372176;441,7029951;441,5741149;440,8172851;440,1000733;438,3717078;418,5210652;483,8037881;482,0483532;482,0039255;481,9991878;482,0589505;482,1921472;480,5820398;462,6059083;619,5192447;615,1878794;615,469241;615,6340123;615,7979302;616,0338122;611,3965886;577,3541916;614,3738039;608,0285843;608,9555142;609,3416646;608,8022714;607,1689045;600,7352988;558,6908863;480,066465;476,9685509;479,5910184;479,8491628;479,0343656;476,3540156;467,2849592;450,2305655;404,7745986;403,1567576;410,3399665;408,0941142;403,2889305;396,6954523;390,8050406;361,3723798;389,1663847;389,8925366;390,8817635;390,2459369;388,8403093;386,412436;380,4414721;361,976272
0,451;0,875;0,968;0,573;0,734;0,898;0,742;0,614;0,661;0,405;0,368;0,264;336,7202664;335,830078;336,5828997;336,7079026;336,219539;334,8275218;331,2850492;321,4597315;375,9499948;373,6718038;374,366241;374,4852663;373,9851682;372,6485377;370,1105675;371,5494413;492,3285679;483,2457434;484,6628476;484,8955165;483,9238653;481,5001763;479,1267025;450,6843281;458,7008902;456,6548977;456,9526352;457,1418941;456,819972;456,4363342;454,7908636;433,2018301;461,4801564;459,8194251;459,8385425;459,8665962;459,9264194;460,0275384;458,7997176;443,4379932;573,053723;568,1279441;568,7458623;569,1760291;569,2242169;569,298496;566,7641019;543,3569846;521,2926971;516,0597714;516,9868574;517,3606861;516,9112174;515,5890922;512,222656;484,7330103;406,9939931;404,4648225;406,4078517;406,6210657;406,1365014;404,4495048;398,9024536;390,287484;357,5112676;354,3364637;359,3310948;358,1028329;355,5357132;351,9628346;348,9233891;335,576107;351,1616481;351,0411858;351,6495395;351,2349541;350,4180862;349,0159539;345,7222594;334,6703785
0,876;0,639;1;0,288;0,096;0,259;0,401;0,7;0,529;0,539;0,503;0,745;310,7980891;310,3118391;310,7218915;310,8227352;310,6512866;310,0448196;308,4939084;304,155076;311,6342968;311,4847779;311,6075893;311,6357997;311,5903931;311,4317806;311,0116995;310,4104212;343,9730933;342,1216995;342,6223541;342,7553047;342,5093574;341,8698513;341,1625085;334,4778618;374,3155847;371,427508;371,1808451;370,7584132;369,2535566;368,1734873;368,4261371;362,1251086;477,2830798;475,9359217;475,6259396;475,4613467;475,4913586;475,8260319;474,4739696;458,0868384;561,7745603;558,3925475;558,6321608;558,6854814;558,8422747;559,1145769;556,2750711;530,6921616;574,6807991;567,6012875;568,987639;569,5803184;569,1616305;567,6910468;563,0545866;527,6507693;457,401279;454,0713806;456,7456752;456,8953524;456,2336261;454,1892014;447,5141969;434,1547787;407,28843;404,6559124;414,6986822;412,7684616;409,0552744;403,1956889;396,2721948;360,6669874;416,682568;415,7610439;417,396873;416,5742299;414,5022997;411,0111692;403,7945648;379,3984134
